id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,contain-class-context,target-class-name,attributes-class,methods-class,target-class-context,tag,move-tag
10,filter  Move  Return  Address  Insns,Ropper,Insn  List,,size  get  Opcode  get  get  get  Opcode  set  set  Immutable,Ropper,param  assignment  return  synch  return  synch  setup  synch  setup  synch  catch  synch  catch  special  label  count  method  blocks  max  Locals  max  Label  machine  sim  start  Frames  result  result  Subroutines  catch  Infos  synch  Needs  Exception  Handler  subroutines  has  Subroutines  exception  Setup  Label  Allocator  Catch  Info  setups  Exception  Handler  Setup  caught  Type  label  Subroutine  caller  Blocks  ret  Blocks  start  Block  Label  Allocator  next  Available  Label  Exception  Setup  Label  Allocator  max  Setup  Label  Subroutine  Inliner  orig  Label  To  Copied  Label  work  List  subroutine  Start  subroutine  Successor  label  Allocator  label  To  Subroutines,get  Setup  get  Setups  Exception  Handler  Setup  get  Caught  Type  get  Label  Subroutine  Subroutine  get  Start  Block  add  Ret  Block  add  Caller  Block  get  Successors  merge  To  Successors  convert  Ropper  get  First  Temp  Stack  Reg  get  Special  Label  get  Minimum  Unreserved  Label  get  Available  Label  is  Synchronized  is  Static  get  Normal  Reg  Count  get  Synch  Reg  label  To  Result  Index  label  To  Block  add  Block  add  Or  Replace  Block  add  Or  Replace  Block  No  Delete  remove  Block  And  Special  Successors  get  Rop  Method  doit  set  First  Frame  process  Block  merge  And  Work  As  Necessary  add  Setup  Blocks  add  Return  Block  add  Synch  Exception  Handler  Block  add  Exception  Setup  Blocks  is  Subroutine  Caller  inline  Subroutines  visit  Block  delete  Unreachable  Blocks  visit  Block  Label  Allocator  get  Next  Label  Exception  Setup  Label  Allocator  get  Next  Label  Subroutine  Inliner  inline  Subroutine  Called  From  copy  Block  involved  In  Subroutine  map  Or  Allocate  Label  subroutine  From  Ret  Block  for  Each  Non  Sub  Block  Depth  First  for  Each  Non  Sub  Block  Depth  First,Type  Type  int  int  int  int  int  int  Frame  int  Concrete  Method  Translation  Advice  Method  List  Dex  Options  Concrete  Method  Translation  Advice  Method  List  Dex  Options  int  int  int  Basic  Block  Int  List  Basic  Block  Int  List  Basic  Block  Int  List  int  Byte  Block  Frame  int  int  int  Subroutine  Frame  int  Basic  Block  Basic  Block  Basic  Block  int  Label  Allocator  Array  List  Int  List  Basic  Block  int  int  int  int  int  int  int  Basic  Block  Visitor  Basic  Block  Basic  Block  Visitor  Bit  Set,Insn  List,,Insn  List  get  set  get  Last  for  Each  content  Equals  with  Register  Offset,int  int  int  Insn  Insn  Visitor  Insn  List  int  Ropper,0,0
11,filter  Move  Return  Address  Insns,Ropper,Insn  List,,size  get  Opcode  get  get  get  Opcode  set  set  Immutable,Insn  List,,Insn  List  get  set  get  Last  for  Each  content  Equals  with  Register  Offset,int  int  int  Insn  Insn  Visitor  Insn  List  int  Ropper,Ropper,param  assignment  return  synch  return  synch  setup  synch  setup  synch  catch  synch  catch  special  label  count  method  blocks  max  Locals  max  Label  machine  sim  start  Frames  result  result  Subroutines  catch  Infos  synch  Needs  Exception  Handler  subroutines  has  Subroutines  exception  Setup  Label  Allocator  Catch  Info  setups  Exception  Handler  Setup  caught  Type  label  Subroutine  caller  Blocks  ret  Blocks  start  Block  Label  Allocator  next  Available  Label  Exception  Setup  Label  Allocator  max  Setup  Label  Subroutine  Inliner  orig  Label  To  Copied  Label  work  List  subroutine  Start  subroutine  Successor  label  Allocator  label  To  Subroutines,get  Setup  get  Setups  Exception  Handler  Setup  get  Caught  Type  get  Label  Subroutine  Subroutine  get  Start  Block  add  Ret  Block  add  Caller  Block  get  Successors  merge  To  Successors  convert  Ropper  get  First  Temp  Stack  Reg  get  Special  Label  get  Minimum  Unreserved  Label  get  Available  Label  is  Synchronized  is  Static  get  Normal  Reg  Count  get  Synch  Reg  label  To  Result  Index  label  To  Block  add  Block  add  Or  Replace  Block  add  Or  Replace  Block  No  Delete  remove  Block  And  Special  Successors  get  Rop  Method  doit  set  First  Frame  process  Block  merge  And  Work  As  Necessary  add  Setup  Blocks  add  Return  Block  add  Synch  Exception  Handler  Block  add  Exception  Setup  Blocks  is  Subroutine  Caller  inline  Subroutines  visit  Block  delete  Unreachable  Blocks  visit  Block  Label  Allocator  get  Next  Label  Exception  Setup  Label  Allocator  get  Next  Label  Subroutine  Inliner  inline  Subroutine  Called  From  copy  Block  involved  In  Subroutine  map  Or  Allocate  Label  subroutine  From  Ret  Block  for  Each  Non  Sub  Block  Depth  First  for  Each  Non  Sub  Block  Depth  First,Type  Type  int  int  int  int  int  int  Frame  int  Concrete  Method  Translation  Advice  Method  List  Dex  Options  Concrete  Method  Translation  Advice  Method  List  Dex  Options  int  int  int  Basic  Block  Int  List  Basic  Block  Int  List  Basic  Block  Int  List  int  Byte  Block  Frame  int  int  int  Subroutine  Frame  int  Basic  Block  Basic  Block  Basic  Block  int  Label  Allocator  Array  List  Int  List  Basic  Block  int  int  int  int  int  int  int  Basic  Block  Visitor  Basic  Block  Basic  Block  Visitor  Bit  Set,1,1
12,source  Debug  Extension,int  int  Parse  Observer  Std  Attribute  Factory,Attribute,,slice  get  Bytes  get  String  parsed,Std  Attribute  Factory,the  one,Std  Attribute  Factory  parse  annotation  Default  bootstrap  Methods  code  constant  Value  deprecated  enclosing  Method  exceptions  inner  Classes  line  Number  Table  local  Variable  Table  local  Variable  Type  Table  parse  Local  Variables  runtime  Invisible  Annotations  runtime  Visible  Annotations  runtime  Invisible  Parameter  Annotations  runtime  Visible  Parameter  Annotations  signature  source  File  synthetic  throw  Severely  Truncated  throw  Truncated  throw  Bad  Length  parse  Bootstrap  Methods,Direct  Class  File  int  String  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Byte  Array  Constant  Pool  Parse  Observer  int  boolean  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  int  Byte  Array  Constant  Pool  Cst  Type  int  int  int  Parse  Observer,Direct  Class  File,class  file  magic  class  file  min  major  version  class  file  max  major  version  class  file  max  minor  version  file  Path  bytes  strict  Parse  pool  access  Flags  this  Class  super  Class  interfaces  fields  methods  attributes  attribute  Factory  observer  Dcf  Type  List  bytes  size  pool,string  Or  None  Direct  Class  File  Direct  Class  File  set  Observer  set  Attribute  Factory  get  File  Path  get  Bytes  get  Magic  get  Minor  Version  get  Major  Version  get  Access  Flags  get  This  Class  get  Superclass  get  Constant  Pool  get  Interfaces  get  Fields  get  Methods  get  Attributes  get  Bootstrap  Methods  get  Source  File  make  Type  List  get  Magic  get  Minor  Version  get  Major  Version  parse  To  Interfaces  If  Necessary  parse  To  End  If  Necessary  parse  is  Good  Magic  is  Good  Version  parse  Dcf  Type  List  is  Mutable  size  get  Word  Count  get  Type  with  Added  Type,Object  Byte  Array  String  boolean  byte  String  boolean  Parse  Observer  Attribute  Factory  int  int  int  int  int  int  int  Parse  Observer  Std  Attribute  Factory  Byte  Array  int  int  Std  Constant  Pool  Parse  Observer  int  Type,0,0
13,source  Debug  Extension,int  int  Parse  Observer  Std  Attribute  Factory,Attribute,,slice  get  Bytes  get  String  parsed,Direct  Class  File,class  file  magic  class  file  min  major  version  class  file  max  major  version  class  file  max  minor  version  file  Path  bytes  strict  Parse  pool  access  Flags  this  Class  super  Class  interfaces  fields  methods  attributes  attribute  Factory  observer  Dcf  Type  List  bytes  size  pool,string  Or  None  Direct  Class  File  Direct  Class  File  set  Observer  set  Attribute  Factory  get  File  Path  get  Bytes  get  Magic  get  Minor  Version  get  Major  Version  get  Access  Flags  get  This  Class  get  Superclass  get  Constant  Pool  get  Interfaces  get  Fields  get  Methods  get  Attributes  get  Bootstrap  Methods  get  Source  File  make  Type  List  get  Magic  get  Minor  Version  get  Major  Version  parse  To  Interfaces  If  Necessary  parse  To  End  If  Necessary  parse  is  Good  Magic  is  Good  Version  parse  Dcf  Type  List  is  Mutable  size  get  Word  Count  get  Type  with  Added  Type,Object  Byte  Array  String  boolean  byte  String  boolean  Parse  Observer  Attribute  Factory  int  int  int  int  int  int  int  Parse  Observer  Std  Attribute  Factory  Byte  Array  int  int  Std  Constant  Pool  Parse  Observer  int  Type,Std  Attribute  Factory,the  one,Std  Attribute  Factory  parse  annotation  Default  bootstrap  Methods  code  constant  Value  deprecated  enclosing  Method  exceptions  inner  Classes  line  Number  Table  local  Variable  Table  local  Variable  Type  Table  parse  Local  Variables  runtime  Invisible  Annotations  runtime  Visible  Annotations  runtime  Invisible  Parameter  Annotations  runtime  Visible  Parameter  Annotations  signature  source  File  synthetic  throw  Severely  Truncated  throw  Truncated  throw  Bad  Length  parse  Bootstrap  Methods,Direct  Class  File  int  String  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Byte  Array  Constant  Pool  Parse  Observer  int  boolean  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  Direct  Class  File  int  int  Parse  Observer  int  Byte  Array  Constant  Pool  Cst  Type  int  int  int  Parse  Observer,1,1
14,compare  Optimizer  Step,int  boolean  Cf  Options  Translation  Advice  Rop  Method  Optimizer  Options,void,,all  Of  remove  optimize  get  Effective  Instruction  Count  get  Blocks  get  Effective  Instruction  Count  get  Blocks  printf  get  Reg  Count  get  Blocks  get  Reg  Count  get  Blocks  get  Reg  Count  get  Blocks  get  Reg  Count  get  Blocks  get  Reg  Count  get  Blocks,Optimizer  Options,optimize  List  dont  Optimize  List  optimize  Lists  Loaded,load  Optimize  Lists  load  Strings  From  File  should  Optimize,String  String  String  String,Rop  Method,blocks  first  Label  predecessors  exit  Predecessors,Rop  Method  get  Blocks  get  First  Label  label  To  Predecessors  get  Exit  Predecessors  with  Register  Offset  calc  Predecessors,Basic  Block  List  int  int  int  int  boolean  Cf  Options  Translation  Advice  Rop  Method  Optimizer  Options,0,0
15,compare  Optimizer  Step,int  boolean  Cf  Options  Translation  Advice  Rop  Method  Optimizer  Options,void,,all  Of  remove  optimize  get  Effective  Instruction  Count  get  Blocks  get  Effective  Instruction  Count  get  Blocks  printf  get  Reg  Count  get  Blocks  get  Reg  Count  get  Blocks  get  Reg  Count  get  Blocks  get  Reg  Count  get  Blocks  get  Reg  Count  get  Blocks,Rop  Method,blocks  first  Label  predecessors  exit  Predecessors,Rop  Method  get  Blocks  get  First  Label  label  To  Predecessors  get  Exit  Predecessors  with  Register  Offset  calc  Predecessors,Basic  Block  List  int  int  int  int  boolean  Cf  Options  Translation  Advice  Rop  Method  Optimizer  Options,Optimizer  Options,optimize  List  dont  Optimize  List  optimize  Lists  Loaded,load  Optimize  Lists  load  Strings  From  File  should  Optimize,String  String  String  String,1,1
18,with  New  Target  And  Reversed,Target  Insn,Target  Insn,,get  Opposite  Test  get  Opcode  get  Position  get  Registers,Target  Insn,target,Target  Insn  with  Opcode  with  Registers  get  Target  get  Target  Address  get  Target  Offset  has  Target  Offset  arg  String,Dop  Source  Position  Register  Spec  List  Code  Address  Dop  Register  Spec  List,Code  Address,binds  Closely,Code  Address  Code  Address  with  Registers  arg  String  listing  String  get  Binds  Closely,Source  Position  Source  Position  boolean  Register  Spec  List  boolean  Target  Insn,0,0
19,with  New  Target  And  Reversed,Target  Insn,Target  Insn,,get  Opposite  Test  get  Opcode  get  Position  get  Registers,Code  Address,binds  Closely,Code  Address  Code  Address  with  Registers  arg  String  listing  String  get  Binds  Closely,Source  Position  Source  Position  boolean  Register  Spec  List  boolean  Target  Insn,Target  Insn,target,Target  Insn  with  Opcode  with  Registers  get  Target  get  Target  Address  get  Target  Offset  has  Target  Offset  arg  String,Dop  Source  Position  Register  Spec  List  Code  Address  Dop  Register  Spec  List,1,1
20,add  All,Statistics,void,,items  add,Statistics,data  Map  Data  name  count  total  Size  largest  Size  smallest  Size,Statistics  add  write  Annotation  to  Human  Data  add  write  Annotation  to  Human,Item  Annotated  Output  Item  String  Item  Annotated  Output,Section,name  file  alignment  file  Offset  prepared,validate  Alignment  Section  get  File  get  Alignment  get  File  Offset  set  File  Offset  write  To  get  Absolute  Offset  get  Absolute  Item  Offset  prepare  items  prepare  write  Size  throw  If  Not  Prepared  throw  If  Prepared  align  write  To  get  Name,int  String  Dex  File  int  int  Annotated  Output  int  Item  extends  Annotated  Output  Annotated  Output  Statistics,0,0
21,add  All,Statistics,void,,items  add,Section,name  file  alignment  file  Offset  prepared,validate  Alignment  Section  get  File  get  Alignment  get  File  Offset  set  File  Offset  write  To  get  Absolute  Offset  get  Absolute  Item  Offset  prepare  items  prepare  write  Size  throw  If  Not  Prepared  throw  If  Prepared  align  write  To  get  Name,int  String  Dex  File  int  int  Annotated  Output  int  Item  extends  Annotated  Output  Annotated  Output  Statistics,Statistics,data  Map  Data  name  count  total  Size  largest  Size  smallest  Size,Statistics  add  write  Annotation  to  Human  Data  add  write  Annotation  to  Human,Item  Annotated  Output  Item  String  Item  Annotated  Output,1,1
22,index  Of,Type  Ids  Section,int,,index  Of  get  Class  Type,Type  Ids  Section,type  Ids,Type  Ids  Section  items  get  write  Header  Part  intern  intern  order  Items,Dex  File  extends  Constant  Annotated  Output  Type  Cst  Type  Type,Cst  Type,interns  object  boolean  byte  character  double  float  long  integer  short  void  boolean  array  byte  array  char  array  double  array  float  array  long  array  int  array  short  array  method  handle  var  handle  type  descriptor,init  Interns  intern  Initial  for  Boxed  Primitive  Type  intern  Cst  Type  equals  hash  Code  compare  To  to  String  get  Type  type  Name  is  Category  to  Human  get  Class  Type  get  Descriptor  get  Package  Name  clear  Intern  Table,Cst  Type  Type  Type  Type  Object  Constant  Type  Ids  Section,0,0
23,index  Of,Type  Ids  Section,int,,index  Of  get  Class  Type,Cst  Type,interns  object  boolean  byte  character  double  float  long  integer  short  void  boolean  array  byte  array  char  array  double  array  float  array  long  array  int  array  short  array  method  handle  var  handle  type  descriptor,init  Interns  intern  Initial  for  Boxed  Primitive  Type  intern  Cst  Type  equals  hash  Code  compare  To  to  String  get  Type  type  Name  is  Category  to  Human  get  Class  Type  get  Descriptor  get  Package  Name  clear  Intern  Table,Cst  Type  Type  Type  Type  Object  Constant  Type  Ids  Section,Type  Ids  Section,type  Ids,Type  Ids  Section  items  get  write  Header  Part  intern  intern  order  Items,Dex  File  extends  Constant  Annotated  Output  Type  Cst  Type  Type,1,1
24,intern,String  Ids  Section,void,,intern  get  Name  intern  get  Descriptor,String  Ids  Section,strings,String  Ids  Section  items  get  write  Header  Part  intern  intern  index  Of  order  Items,Dex  File  extends  Constant  Annotated  Output  String  Cst  String  String  Id  Item  Cst  String,Cst  Nat,primitive  type  nat  name  descriptor,Cst  Nat  equals  hash  Code  compare  To  to  String  type  Name  is  Category  get  Name  get  Descriptor  to  Human  get  Field  Type  is  Instance  Init  is  Class  Init,Cst  String  Cst  String  Object  Constant  String  Ids  Section,0,0
