id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
12,exclude  All  Features,Spec  Info,void,,get  All  Features  set  Excluded,Include  Exclude  Extension,config,visit  Spec  handle  Spec  Includes  handle  Spec  Excludes  handle  Feature  Includes  handle  Feature  Excludes  all  Features  Excluded  has  Any  Annotation  has  Any  Base  Class,Spec  Info,fields  setup  Interceptors  cleanup  Interceptors  setup  Spec  Interceptors  cleanup  Spec  Interceptors  shared  Initializer  Interceptors  initializer  Interceptors  listeners  pkg  filename  narrative  super  Spec  sub  Spec  specs  Top  To  Bottom  specs  Bottom  To  Top  initializer  Method  shared  Initializer  Method  setup  Methods  cleanup  Methods  setup  Spec  Methods  cleanup  Spec  Methods  features,get  Package  set  Package  get  Filename  set  Filename  get  Narrative  set  Narrative  get  Super  Spec  set  Super  Spec  get  Sub  Spec  set  Sub  Spec  get  Top  Spec  get  Is  Top  Spec  get  Bottom  Spec  get  Is  Bottom  Spec  get  Specs  Top  To  Bottom  get  Specs  Bottom  To  Top  get  Initializer  Method  set  Initializer  Method  get  Shared  Initializer  Method  set  Shared  Initializer  Method  get  Setup  Methods  add  Setup  Method  get  Cleanup  Methods  add  Cleanup  Method  get  Setup  Spec  Methods  add  Setup  Spec  Method  get  Cleanup  Spec  Methods  add  Cleanup  Spec  Method  get  Fixture  Methods  get  All  Fixture  Methods  get  Fields  get  All  Fields  add  Field  get  Features  get  All  Features  get  All  Features  In  Execution  Order  add  Feature  get  Setup  Interceptors  add  Setup  Interceptor  get  Cleanup  Interceptors  add  Cleanup  Interceptor  get  Setup  Spec  Interceptors  add  Setup  Spec  Interceptor  get  Cleanup  Spec  Interceptors  add  Cleanup  Spec  Interceptor  get  Shared  Initializer  Interceptors  add  Shared  Initializer  Interceptor  get  Initializer  Interceptors  add  Initializer  Interceptor  get  Listeners  add  Listener  filter  Features  sort  Features  is  Initializer  Or  Fixture  Method  to  Feature  Name  sort  Features  In  Declaration  Order,0,0
13,exclude  All  Features,Spec  Info,void,,get  All  Features  set  Excluded,Spec  Info,fields  setup  Interceptors  cleanup  Interceptors  setup  Spec  Interceptors  cleanup  Spec  Interceptors  shared  Initializer  Interceptors  initializer  Interceptors  listeners  pkg  filename  narrative  super  Spec  sub  Spec  specs  Top  To  Bottom  specs  Bottom  To  Top  initializer  Method  shared  Initializer  Method  setup  Methods  cleanup  Methods  setup  Spec  Methods  cleanup  Spec  Methods  features,get  Package  set  Package  get  Filename  set  Filename  get  Narrative  set  Narrative  get  Super  Spec  set  Super  Spec  get  Sub  Spec  set  Sub  Spec  get  Top  Spec  get  Is  Top  Spec  get  Bottom  Spec  get  Is  Bottom  Spec  get  Specs  Top  To  Bottom  get  Specs  Bottom  To  Top  get  Initializer  Method  set  Initializer  Method  get  Shared  Initializer  Method  set  Shared  Initializer  Method  get  Setup  Methods  add  Setup  Method  get  Cleanup  Methods  add  Cleanup  Method  get  Setup  Spec  Methods  add  Setup  Spec  Method  get  Cleanup  Spec  Methods  add  Cleanup  Spec  Method  get  Fixture  Methods  get  All  Fixture  Methods  get  Fields  get  All  Fields  add  Field  get  Features  get  All  Features  get  All  Features  In  Execution  Order  add  Feature  get  Setup  Interceptors  add  Setup  Interceptor  get  Cleanup  Interceptors  add  Cleanup  Interceptor  get  Setup  Spec  Interceptors  add  Setup  Spec  Interceptor  get  Cleanup  Spec  Interceptors  add  Cleanup  Spec  Interceptor  get  Shared  Initializer  Interceptors  add  Shared  Initializer  Interceptor  get  Initializer  Interceptors  add  Initializer  Interceptor  get  Listeners  add  Listener  filter  Features  sort  Features  is  Initializer  Or  Fixture  Method  to  Feature  Name  sort  Features  In  Declaration  Order,Include  Exclude  Extension,config,visit  Spec  handle  Spec  Includes  handle  Spec  Excludes  handle  Feature  Includes  handle  Feature  Excludes  all  Features  Excluded  has  Any  Annotation  has  Any  Base  Class,1,0
14,all  Features  Excluded,Spec  Info,boolean,,get  All  Features  is  Excluded,Include  Exclude  Extension,config,visit  Spec  handle  Spec  Includes  handle  Spec  Excludes  handle  Feature  Includes  handle  Feature  Excludes  exclude  All  Features  has  Any  Annotation  has  Any  Base  Class,Spec  Info,fields  setup  Interceptors  cleanup  Interceptors  setup  Spec  Interceptors  cleanup  Spec  Interceptors  shared  Initializer  Interceptors  initializer  Interceptors  listeners  pkg  filename  narrative  super  Spec  sub  Spec  specs  Top  To  Bottom  specs  Bottom  To  Top  initializer  Method  shared  Initializer  Method  setup  Methods  cleanup  Methods  setup  Spec  Methods  cleanup  Spec  Methods  features,get  Package  set  Package  get  Filename  set  Filename  get  Narrative  set  Narrative  get  Super  Spec  set  Super  Spec  get  Sub  Spec  set  Sub  Spec  get  Top  Spec  get  Is  Top  Spec  get  Bottom  Spec  get  Is  Bottom  Spec  get  Specs  Top  To  Bottom  get  Specs  Bottom  To  Top  get  Initializer  Method  set  Initializer  Method  get  Shared  Initializer  Method  set  Shared  Initializer  Method  get  Setup  Methods  add  Setup  Method  get  Cleanup  Methods  add  Cleanup  Method  get  Setup  Spec  Methods  add  Setup  Spec  Method  get  Cleanup  Spec  Methods  add  Cleanup  Spec  Method  get  Fixture  Methods  get  All  Fixture  Methods  get  Fields  get  All  Fields  add  Field  get  Features  get  All  Features  get  All  Features  In  Execution  Order  add  Feature  get  Setup  Interceptors  add  Setup  Interceptor  get  Cleanup  Interceptors  add  Cleanup  Interceptor  get  Setup  Spec  Interceptors  add  Setup  Spec  Interceptor  get  Cleanup  Spec  Interceptors  add  Cleanup  Spec  Interceptor  get  Shared  Initializer  Interceptors  add  Shared  Initializer  Interceptor  get  Initializer  Interceptors  add  Initializer  Interceptor  get  Listeners  add  Listener  filter  Features  sort  Features  is  Initializer  Or  Fixture  Method  to  Feature  Name  sort  Features  In  Declaration  Order,0,0
15,all  Features  Excluded,Spec  Info,boolean,,get  All  Features  is  Excluded,Spec  Info,fields  setup  Interceptors  cleanup  Interceptors  setup  Spec  Interceptors  cleanup  Spec  Interceptors  shared  Initializer  Interceptors  initializer  Interceptors  listeners  pkg  filename  narrative  super  Spec  sub  Spec  specs  Top  To  Bottom  specs  Bottom  To  Top  initializer  Method  shared  Initializer  Method  setup  Methods  cleanup  Methods  setup  Spec  Methods  cleanup  Spec  Methods  features,get  Package  set  Package  get  Filename  set  Filename  get  Narrative  set  Narrative  get  Super  Spec  set  Super  Spec  get  Sub  Spec  set  Sub  Spec  get  Top  Spec  get  Is  Top  Spec  get  Bottom  Spec  get  Is  Bottom  Spec  get  Specs  Top  To  Bottom  get  Specs  Bottom  To  Top  get  Initializer  Method  set  Initializer  Method  get  Shared  Initializer  Method  set  Shared  Initializer  Method  get  Setup  Methods  add  Setup  Method  get  Cleanup  Methods  add  Cleanup  Method  get  Setup  Spec  Methods  add  Setup  Spec  Method  get  Cleanup  Spec  Methods  add  Cleanup  Spec  Method  get  Fixture  Methods  get  All  Fixture  Methods  get  Fields  get  All  Fields  add  Field  get  Features  get  All  Features  get  All  Features  In  Execution  Order  add  Feature  get  Setup  Interceptors  add  Setup  Interceptor  get  Cleanup  Interceptors  add  Cleanup  Interceptor  get  Setup  Spec  Interceptors  add  Setup  Spec  Interceptor  get  Cleanup  Spec  Interceptors  add  Cleanup  Spec  Interceptor  get  Shared  Initializer  Interceptors  add  Shared  Initializer  Interceptor  get  Initializer  Interceptors  add  Initializer  Interceptor  get  Listeners  add  Listener  filter  Features  sort  Features  is  Initializer  Or  Fixture  Method  to  Feature  Name  sort  Features  In  Declaration  Order,Include  Exclude  Extension,config,visit  Spec  handle  Spec  Includes  handle  Spec  Excludes  handle  Feature  Includes  handle  Feature  Excludes  exclude  All  Features  has  Any  Annotation  has  Any  Base  Class,1,0
16,has  Any  Base  Class,Spec  Info  List  Class,boolean,,is  Assignable  From  get  Reflection,Include  Exclude  Extension,config,visit  Spec  handle  Spec  Includes  handle  Spec  Excludes  handle  Feature  Includes  handle  Feature  Excludes  exclude  All  Features  all  Features  Excluded  has  Any  Annotation,Spec  Info,fields  setup  Interceptors  cleanup  Interceptors  setup  Spec  Interceptors  cleanup  Spec  Interceptors  shared  Initializer  Interceptors  initializer  Interceptors  listeners  pkg  filename  narrative  super  Spec  sub  Spec  specs  Top  To  Bottom  specs  Bottom  To  Top  initializer  Method  shared  Initializer  Method  setup  Methods  cleanup  Methods  setup  Spec  Methods  cleanup  Spec  Methods  features,get  Package  set  Package  get  Filename  set  Filename  get  Narrative  set  Narrative  get  Super  Spec  set  Super  Spec  get  Sub  Spec  set  Sub  Spec  get  Top  Spec  get  Is  Top  Spec  get  Bottom  Spec  get  Is  Bottom  Spec  get  Specs  Top  To  Bottom  get  Specs  Bottom  To  Top  get  Initializer  Method  set  Initializer  Method  get  Shared  Initializer  Method  set  Shared  Initializer  Method  get  Setup  Methods  add  Setup  Method  get  Cleanup  Methods  add  Cleanup  Method  get  Setup  Spec  Methods  add  Setup  Spec  Method  get  Cleanup  Spec  Methods  add  Cleanup  Spec  Method  get  Fixture  Methods  get  All  Fixture  Methods  get  Fields  get  All  Fields  add  Field  get  Features  get  All  Features  get  All  Features  In  Execution  Order  add  Feature  get  Setup  Interceptors  add  Setup  Interceptor  get  Cleanup  Interceptors  add  Cleanup  Interceptor  get  Setup  Spec  Interceptors  add  Setup  Spec  Interceptor  get  Cleanup  Spec  Interceptors  add  Cleanup  Spec  Interceptor  get  Shared  Initializer  Interceptors  add  Shared  Initializer  Interceptor  get  Initializer  Interceptors  add  Initializer  Interceptor  get  Listeners  add  Listener  filter  Features  sort  Features  is  Initializer  Or  Fixture  Method  to  Feature  Name  sort  Features  In  Declaration  Order,0,0
17,has  Any  Base  Class,Spec  Info  List  Class,boolean,,is  Assignable  From  get  Reflection,Spec  Info,fields  setup  Interceptors  cleanup  Interceptors  setup  Spec  Interceptors  cleanup  Spec  Interceptors  shared  Initializer  Interceptors  initializer  Interceptors  listeners  pkg  filename  narrative  super  Spec  sub  Spec  specs  Top  To  Bottom  specs  Bottom  To  Top  initializer  Method  shared  Initializer  Method  setup  Methods  cleanup  Methods  setup  Spec  Methods  cleanup  Spec  Methods  features,get  Package  set  Package  get  Filename  set  Filename  get  Narrative  set  Narrative  get  Super  Spec  set  Super  Spec  get  Sub  Spec  set  Sub  Spec  get  Top  Spec  get  Is  Top  Spec  get  Bottom  Spec  get  Is  Bottom  Spec  get  Specs  Top  To  Bottom  get  Specs  Bottom  To  Top  get  Initializer  Method  set  Initializer  Method  get  Shared  Initializer  Method  set  Shared  Initializer  Method  get  Setup  Methods  add  Setup  Method  get  Cleanup  Methods  add  Cleanup  Method  get  Setup  Spec  Methods  add  Setup  Spec  Method  get  Cleanup  Spec  Methods  add  Cleanup  Spec  Method  get  Fixture  Methods  get  All  Fixture  Methods  get  Fields  get  All  Fields  add  Field  get  Features  get  All  Features  get  All  Features  In  Execution  Order  add  Feature  get  Setup  Interceptors  add  Setup  Interceptor  get  Cleanup  Interceptors  add  Cleanup  Interceptor  get  Setup  Spec  Interceptors  add  Setup  Spec  Interceptor  get  Cleanup  Spec  Interceptors  add  Cleanup  Spec  Interceptor  get  Shared  Initializer  Interceptors  add  Shared  Initializer  Interceptor  get  Initializer  Interceptors  add  Initializer  Interceptor  get  Listeners  add  Listener  filter  Features  sort  Features  is  Initializer  Or  Fixture  Method  to  Feature  Name  sort  Features  In  Declaration  Order,Include  Exclude  Extension,config,visit  Spec  handle  Spec  Includes  handle  Spec  Excludes  handle  Feature  Includes  handle  Feature  Excludes  exclude  All  Features  all  Features  Excluded  has  Any  Annotation,1,0
18,safe  Load  From  Disk,Optimize  Run  Order  Extension,void,,load  From  Disk,Optimize  Run  Order  Extension,configuration  spec  Started  feature  Started  error  Occurred,visit  Spec  before  Spec  before  Feature  after  Feature  error  after  Spec  safe  Save  To  Disk,Spec  Run  History,max  confidence  spec  Name  data  Data  spec  Confidence  spec  Duration  feature  Confidences  feature  Durations,Spec  Run  History  get  Spec  Name  load  From  Disk  save  To  Disk  sort  Features  compare  To  collect  Feature  Data  collect  Spec  Data  remove  Obsolete  Features  From  Data  compute  Spec  Confidence  extract  Names  get  Data  File,0,0
19,safe  Load  From  Disk,Optimize  Run  Order  Extension,void,,load  From  Disk,Spec  Run  History,max  confidence  spec  Name  data  Data  spec  Confidence  spec  Duration  feature  Confidences  feature  Durations,Spec  Run  History  get  Spec  Name  load  From  Disk  save  To  Disk  sort  Features  compare  To  collect  Feature  Data  collect  Spec  Data  remove  Obsolete  Features  From  Data  compute  Spec  Confidence  extract  Names  get  Data  File,Optimize  Run  Order  Extension,configuration  spec  Started  feature  Started  error  Occurred,visit  Spec  before  Spec  before  Feature  after  Feature  error  after  Spec  safe  Save  To  Disk,1,1
20,safe  Save  To  Disk,Spec  Run  History,void,,save  To  Disk,Optimize  Run  Order  Extension,configuration  spec  Started  feature  Started  error  Occurred,visit  Spec  before  Spec  before  Feature  after  Feature  error  after  Spec,Spec  Run  History,max  confidence  spec  Name  data  Data  spec  Confidence  spec  Duration  feature  Confidences  feature  Durations,Spec  Run  History  get  Spec  Name  load  From  Disk  save  To  Disk  sort  Features  compare  To  collect  Feature  Data  collect  Spec  Data  remove  Obsolete  Features  From  Data  compute  Spec  Confidence  extract  Names  get  Data  File  safe  Load  From  Disk,0,0
21,safe  Save  To  Disk,Spec  Run  History,void,,save  To  Disk,Spec  Run  History,max  confidence  spec  Name  data  Data  spec  Confidence  spec  Duration  feature  Confidences  feature  Durations,Spec  Run  History  get  Spec  Name  load  From  Disk  save  To  Disk  sort  Features  compare  To  collect  Feature  Data  collect  Spec  Data  remove  Obsolete  Features  From  Data  compute  Spec  Confidence  extract  Names  get  Data  File  safe  Load  From  Disk,Optimize  Run  Order  Extension,configuration  spec  Started  feature  Started  error  Occurred,visit  Spec  before  Spec  before  Feature  after  Feature  error  after  Spec,1,0
