id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
10,del,String  String  Object,int,,del  set  create,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,0,0
11,del,String  String  Object,int,,del  set  create,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,1,0
12,update,Entity  Entity,int,,get  Connection  update  close  Connection,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,0,0
13,update,Entity  Entity,int,,get  Connection  update  close  Connection,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,1,0
14,find,Rs  Handler  T  Abstract  Db,t,,get  Connection  find  get  Runner  close  Connection,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,0,0
15,find,Rs  Handler  T  Abstract  Db,t,,get  Connection  find  get  Runner  close  Connection,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,1,0
16,find,Rs  Handler  T  Abstract  Db,t,,get  Connection  find  get  Runner  close  Connection,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Query,fields  table  Names  where  page,Query  Query  Query  Query  get  Fields  set  Fields  set  Fields  get  Table  Names  set  Table  Names  get  Where  set  Where  get  Page  set  Page  get  First  Table  Name,0,0
17,find,Rs  Handler  T  Abstract  Db,t,,get  Connection  find  get  Runner  close  Connection,Query,fields  table  Names  where  page,Query  Query  Query  Query  get  Fields  set  Fields  set  Fields  get  Table  Names  set  Table  Names  get  Where  set  Where  get  Page  set  Page  get  First  Table  Name,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,1,1
18,count,Entity,int,,get  Connection  count  close  Connection,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,0,0
19,count,Entity,int,,get  Connection  count  close  Connection,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  page  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,1,0
20,page,Collection  String  Entity  int  int  Rs  Handler  T,t,,get  Connection  page  close  Connection,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,0,0
21,page,Collection  String  Entity  int  int  Rs  Handler  T,t,,get  Connection  page  close  Connection,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,1,0
22,page,Collection  String  Entity  int  int  Rs  Handler  T,t,,get  Connection  page  close  Connection,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,0,0
23,page,Collection  String  Entity  int  int  Rs  Handler  T,t,,get  Connection  page  close  Connection,Entity,serial  Version  U  I  D  table  Name  field  Names,create  create  parse  parse  parse  With  Underline  Case  Entity  Entity  Entity  get  Table  Name  set  Table  Name  get  Field  Names  set  Field  Names  set  Field  Names  add  Field  Names  parse  Bean  parse  Bean  filter  set  set  Ignore  Null  get  Clob  get  Blob  get  Time  get  Date  get  Timestamp  get  Str  get  Str  get  Row  Id  get  Row  Id  clone  to  String  wrap,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,1,0
24,page,Collection  String  Entity  int  int  Rs  Handler  T,t,,get  Connection  page  close  Connection,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,Page,serial  Version  U  I  D  default  page  size  page  Number  page  Size  orders,Page  Page  Page  get  Page  Number  set  Page  Number  get  Num  Per  Page  set  Num  Per  Page  get  Page  Size  set  Page  Size  get  Orders  set  Order  add  Order  get  Start  Position  get  End  Position  get  Start  End  to  String,0,0
25,page,Collection  String  Entity  int  int  Rs  Handler  T,t,,get  Connection  page  close  Connection,Page,serial  Version  U  I  D  default  page  size  page  Number  page  Size  orders,Page  Page  Page  get  Page  Number  set  Page  Number  get  Num  Per  Page  set  Num  Per  Page  get  Page  Size  set  Page  Size  get  Orders  set  Order  add  Order  get  Start  Position  get  End  Position  get  Start  End  to  String,Abstract  Db,serial  Version  U  I  D  ds  is  Support  Transaction  case  Insensitive  runner,Abstract  Db  get  Connection  close  Connection  query  query  query  query  One  query  Number  query  String  query  query  execute  execute  For  Generated  Key  execute  Batch  execute  Batch  insert  insert  Or  Update  insert  insert  For  Generated  Keys  insert  For  Generated  Key  del  del  update  get  get  find  find  find  find  find  find  All  find  All  find  All  find  By  find  By  find  Like  count  page  page  For  Entity  List  page  For  Entity  List  page  page  page  page  page  page  set  Case  Insensitive  get  Runner  set  Runner  set  Wrapper  set  Wrapper  disable  Wrapper  check  Transaction  Supported,1,0
